episode,Episode_reward,Loss
0,-10178.829078516057,-6351072.5
10,-10091.574927113928,-8028362752.0
20,-10009.021176755083,-9775796224.0
30,-12602.452159564107,-52642258944.0
40,-7924.872560764847,-52879052800.0
50,-10912.051240216842,-119379509248.0
60,-10907.062764641465,-78692057088.0
70,-9783.83447445865,-124871860224.0
80,-7854.091642933283,-186385383424.0
90,-9775.32406900226,-333426589696.0
100,-10437.366050779034,-65437523968.0
110,-9395.111363882766,38642647040.0
120,-8678.68634083938,-545374240768.0
130,-12009.595903363565,-736534134784.0
140,-9033.834691382955,105510797312.0
150,-9228.781363987631,-697595723776.0
160,-10197.59424245786,3062808969216.0
170,-9659.956724349,-637789995008.0
180,-10787.276595189314,373131640832.0
190,-7335.946735351807,-919191748608.0
