72_spotID,91_spotID
0,0
1,1
2,2
3,5
4,6
5,8
6,10
7,11
8,12
9,13
10,14
11,15
12,16
13,17
14,19
15,20
16,21
17,23
18,26
19,28
20,30
21,32
22,33
23,34
24,35
25,36
26,37
27,39
28,40
29,41
30,43
31,44
32,45
33,46
34,47
35,48
36,49
37,51
38,52
39,53
40,54
41,55
42,56
43,57
44,58
45,59
46,60
47,61
48,62
49,63
50,64
51,65
52,66
53,67
54,68
55,69
56,70
57,71
58,72
59,73
60,74
61,75
62,76
63,77
64,78
65,79
66,80
67,81
68,82
69,83
70,88
71,89
