id,aoi,loc1,loc2,time,r
1,"Kawaramachi Street, 河原町",35.00701,135.7654815,40.70871795,4.280612212
2,"Nijō Castle, 二条城",35.0139545,135.749473,60.0,5.486232126
3,"Kiyomizu-dera, 清水寺",34.994452,135.784286,40.70871795,6.829413367
4,"Arashiyama Station, 嵐山駅前",35.0163655,135.677087,40.70871795,6.381384238
5,"Fushimi Inari Taisha, 伏見稲荷大社",34.96749,135.7800615,40.70871795,7.329190829
6,"京都御所",35.0223815,135.7634075,40.70871795,5.838705445
7,"Tenryū-ji, 天龍寺",35.015765,135.67436,40.70871795,6.977666903
8,"Kinkaku-ji, 金閣寺",35.0398385,135.7302265,40.70871795,8.284378796
9,"Gion, 祇園",35.004084,135.7746525,40.70871795,5.622112018
10,"Yasaka Shrine, 八坂神社",35.003255,135.7789385,30.01,5.495379516
11,"Higashiyama Jisho-ji, 銀閣寺",35.026828,135.797326,40.70871795,7.418594969
12,"Heian Shrine, 平安神宮",35.0154755,135.7817325,40.70871795,6.498803216
13,"Philosopher's Path, 哲学の道",35.021666,135.7941705,40.70871795,5.524765189
14,"Arashiyama Bamboo Forest, 竹林の小径",35.017037,135.673279,40.70871795,8.361293958
15,"Nanzen-ji, 南禅寺",35.0104415,135.792265,40.70871795,6.447674026
16,"Tōfuku-ji, 東福寺",34.97757,135.7718915,49.45277778,6.478158725
17,"Chion-in, 知恩院",35.005275,135.782733,40.70871795,5.975169979
18,"Shimogamo-Jinja, 下鴨神社",35.037001,135.772834,18.01666667,4.696774042
19,"Sanneizaka, 三年坂",34.9968395,135.779793,40.70871795,6.090219529
20,"Kitano Tenmangū, 北野天満宮",35.029866,135.7353195,88.55166667,5.830919571
21,"Ryōan-ji, 龍安寺",35.031905,135.718685,64.86388889,5.607379903
22,"Toji, 東寺",34.9816885,135.747848,68.925,5.820277709
23,"Kyoto Botanical Gardens, 京都府立植物園",35.048933,135.76222,53.06666667,6.08874228
24,"Sanzen-in Temple, 三千院",35.12004,135.833783,171.075,6.258306549
25,"Rengeoin Sanjusangendo, 三十三間堂",34.9880715,135.7717995,40.70871795,5.441170991
26,"Kenninji Temple, 建仁寺",35.0003805,135.774561,40.70871795,4.922850497
27,"Byodoin, 平等院",34.8900065,135.807436,26.00555556,7.426114023
28,"Togetsu-kyō Bridge, 渡月橋",35.0127105,135.6756455,40.70871795,5.584167443
29,"Kōdaiji Temple, 高台寺",35.0007055,135.781384,40.70871795,6.072122357
30,"Daigoji, 醍醐寺",34.95134,135.8217265,40.70871795,5.663936233
31,"Ninna-ji, 仁和寺",35.029143,135.71402,40.70871795,5.66007933
32,"Higashi Honganji, 東本願寺",34.9912315,135.7605385,40.70871795,4.691061539
33,"Maruyama Park, 円山公園",35.003341,135.782184,40.70871795,5.909083508
34,"Hirano Shrine, 平野神社",35.032136,135.7323215,6.672222222,3.619715809
