pid,matched_aid
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
805,1
806,1
812,2
813,2
814,2
815,2
816,2
1219,2
947,5
1292,6
1293,6
1294,6
936,8
937,8
938,8
939,8
940,8
941,8
942,8
943,8
944,8
945,8
946,8
592,10
594,10
595,10
600,10
601,10
606,10
607,10
608,10
610,10
611,10
612,10
614,10
615,10
616,10
617,10
618,10
619,10
620,10
622,10
623,10
624,10
625,10
626,10
627,10
581,11
927,11
928,11
556,12
559,13
592,13
593,13
594,13
595,13
603,13
605,13
606,13
607,13
608,13
609,13
610,13
574,14
596,14
601,14
602,14
625,14
1198,14
597,15
598,15
599,15
604,15
564,16
579,16
583,16
584,16
586,16
587,16
588,16
590,16
582,17
583,17
587,17
588,17
589,17
590,17
591,17
965,19
1046,19
1047,19
1048,19
1049,19
1050,19
1051,19
1052,19
559,20
560,20
561,20
564,20
578,20
579,20
592,20
593,20
594,20
595,20
612,20
613,20
614,20
615,20
616,20
617,20
618,20
619,20
620,20
621,20
622,20
623,20
628,20
629,20
630,20
631,20
1206,20
893,21
894,21
1122,23
1123,23
460,26
461,26
462,26
463,26
464,26
465,26
466,26
467,26
468,26
469,26
470,26
471,26
472,26
474,26
475,26
476,26
477,26
478,26
479,26
480,26
481,26
482,26
483,26
484,26
485,26
486,26
487,26
488,26
718,26
632,28
633,28
634,28
635,28
636,28
637,28
638,28
639,28
640,28
641,28
642,28
643,28
644,28
646,28
647,28
648,28
649,28
650,28
101,30
103,30
104,30
105,30
106,30
107,30
108,30
109,30
110,30
116,30
117,30
118,30
119,30
120,30
121,30
122,30
123,30
124,30
125,30
126,30
127,30
128,30
129,30
130,30
131,30
132,30
133,30
134,30
135,30
136,30
1112,32
1113,32
1114,32
1115,32
1116,32
1117,32
1118,32
79,33
80,33
81,33
82,33
83,33
84,33
85,33
86,33
87,33
88,33
89,33
90,33
91,33
92,33
95,33
96,33
97,33
489,34
490,34
878,34
968,34
1053,34
1230,34
896,35
897,35
898,35
899,35
900,35
901,35
931,35
932,35
933,35
1097,35
859,36
860,36
862,36
863,36
864,36
865,36
866,36
856,37
857,37
858,37
974,37
975,37
1277,37
1278,37
1279,37
1493,37
1494,37
1495,37
1148,39
1149,39
149,40
819,40
652,41
655,41
656,41
657,41
658,41
659,41
660,41
663,41
664,41
665,41
666,41
667,41
668,41
669,41
670,41
671,41
672,41
673,41
674,41
675,41
676,41
677,41
678,41
679,41
680,41
681,41
682,41
683,41
684,41
685,41
686,41
687,41
688,41
689,41
690,41
691,41
692,41
693,41
694,41
695,41
696,41
697,41
698,41
699,41
895,41
962,41
970,41
1189,41
1190,41
1191,41
1192,41
1193,41
1194,41
1195,41
1215,41
1217,41
1228,41
1,43
2,43
3,43
7,43
8,43
9,43
10,43
11,43
12,43
17,43
18,43
19,43
20,43
