,uid,datetime,,lng,lat
0,1,8,0,135.6686395,35.0536705
1,1,8,22,135.677087,35.0163655
2,1,8,46,135.67436,35.015765
3,1,9,57,135.677087,35.0163655
4,1,10,31,135.6756455,35.0127105
5,1,14,16,135.688925,35.0158845
6,1,15,38,135.677087,35.0163655
7,1,16,3,135.67436,35.015765
8,1,16,28,135.677087,35.0163655
9,1,16,54,135.67436,35.015765
10,1,17,36,135.6756455,35.0127105
11,1,18,57,135.679205,35.0115535
12,1,19,25,135.6686395,35.0536705
13,1,19,50,135.765176,34.9962555
14,2,8,0,135.8057245,35.020761
15,2,10,28,135.774561,35.0003805
16,3,8,0,135.804262,34.8920415
17,3,8,40,135.807436,34.8900065
18,3,9,7,135.804262,34.8920415
19,3,9,39,135.807436,34.8900065
20,3,10,44,135.804262,34.8920415
21,3,11,26,135.807436,34.8900065
22,3,12,13,135.804262,34.8920415
23,3,12,58,135.807436,34.8900065
24,3,13,27,135.804262,34.8920415
25,3,14,49,135.807436,34.8900065
26,3,15,27,135.804262,34.8920415
27,3,16,33,135.756622,34.987583
28,3,17,13,135.804262,34.8920415
29,3,18,32,135.756622,34.987583
30,3,19,17,135.754661,34.985201
31,3,19,53,135.807436,34.8900065
32,4,8,0,135.795308,35.041977
33,5,8,0,135.780784,34.998434
34,5,10,29,135.756622,34.987583
35,5,11,20,135.754661,34.985201
36,5,12,28,135.780784,34.998434
37,5,13,48,135.779793,34.9968395
38,5,14,29,135.780784,34.998434
39,5,14,49,135.779793,34.9968395
40,5,15,27,135.7679695,35.016412
41,5,16,27,135.7570505,35.0037495
42,5,17,4,135.780784,34.998434
43,5,17,33,135.779793,34.9968395
44,5,18,1,135.756622,34.987583
45,5,18,29,135.754661,34.985201
46,5,19,24,135.7570505,35.0037495
47,6,8,0,135.807436,34.8900065
48,6,8,32,135.804262,34.8920415
49,6,9,4,135.807436,34.8900065
50,6,11,44,135.804262,34.8920415
51,6,12,40,135.807436,34.8900065
52,6,14,13,135.804262,34.8920415
53,6,14,37,135.7800615,34.96749
54,6,15,5,135.770812,34.9801695
55,6,15,40,135.804262,34.8920415
56,6,19,0,135.770812,34.9801695
57,6,19,24,135.767355,34.9883835
58,6,19,51,135.756622,34.987583
59,7,8,0,135.7439445,35.001712
60,7,8,53,135.754661,34.985201
61,7,9,29,135.756622,34.987583
62,7,11,21,135.7439445,35.001712
63,7,13,1,135.756622,34.987583
64,7,14,23,135.7538105,34.9894565
65,7,16,33,135.7439445,35.001712
66,7,16,55,135.756622,34.987583
67,7,19,55,135.7538105,34.9894565
68,8,8,0,135.755588,35.0209985
69,8,8,36,135.7497795,35.010972
70,8,8,58,135.755588,35.0209985
71,8,9,18,135.7497795,35.010972
72,8,10,33,135.765669,35.0096815
73,8,10,56,135.755588,35.0209985
74,8,12,55,135.7497795,35.010972
75,8,13,52,135.749473,35.0139545
76,8,14,19,135.7497795,35.010972
77,8,19,35,135.7679695,35.016412
78,9,8,0,135.7605855,34.929043
79,9,8,28,135.687512,34.891397
80,9,8,55,135.7605855,34.929043
81,9,9,45,135.687512,34.891397
82,9,10,37,135.756622,34.987583
83,9,10,58,135.7605855,34.929043
84,9,14,13,135.7657775,34.939008
85,9,15,23,135.756622,34.987583
86,10,8,0,135.7497795,35.010972
87,10,13,49,135.7538105,34.9894565
88,10,14,10,135.754661,34.985201
89,10,14,31,135.7538105,34.9894565
90,10,19,46,135.754661,34.985201
91,11,8,0,135.66949,35.01664
92,11,8,26,135.6756455,35.0127105
93,11,9,2,135.66949,35.01664
94,11,9,26,135.6756455,35.0127105
95,11,10,11,135.66949,35.01664
96,11,10,38,135.677087,35.0163655
97,11,11,36,135.67436,35.015765
98,11,12,10,135.6701645,35.020495
99,12,8,0,135.7302265,35.0398385
100,12,8,21,135.7353195,35.029866
101,12,9,7,135.7302265,35.0398385
102,12,9,30,135.754661,34.985201
103,12,10,17,135.7302265,35.0398385
104,12,10,45,135.7353195,35.029866
105,12,11,13,135.7302265,35.0398385
106,12,13,25,135.7715805,34.9919985
107,12,13,52,135.7746525,35.004084
108,12,14,24,135.781704,35.0102175
109,12,15,56,135.7353195,35.029866
110,12,16,21,135.7323215,35.032136
111,12,17,2,135.7302265,35.0398385
112,12,17,49,135.7353195,35.029866
113,12,18,55,135.73175,35.0357935
114,12,19,35,135.7353195,35.029866
115,13,8,0,135.7590345,34.975794
116,13,8,25,135.754661,34.985201
117,13,9,25,135.7590345,34.975794
118,13,9,53,135.754661,34.985201
119,13,10,29,135.7590345,34.975794
120,13,10,57,135.754661,34.985201
121,13,11,48,135.756622,34.987583
122,13,14,10,135.754661,34.985201
123,13,15,24,135.7590345,34.975794
124,13,18,9,135.756622,34.987583
125,14,8,0,135.7029955,34.979176
126,14,8,28,135.74863,35.003559
127,14,12,23,135.7029955,34.979176
128,14,12,45,135.74863,35.003559
129,14,14,20,135.7679695,35.016412
130,14,15,51,135.7746525,35.004084
131,14,18,1,135.7029955,34.979176
132,14,18,22,135.7679695,35.016412
133,14,19,59,135.74863,35.003559
134,15,8,0,135.8343055,35.1087425
135,15,10,42,135.774561,35.0003805
136,15,11,5,135.8343055,35.1087425
137,15,11,34,135.777969,35.0010785
138,15,11,55,135.7746525,35.004084
139,15,12,37,135.754661,34.985201
140,15,13,16,135.756622,34.987583
141,15,16,27,135.8343055,35.1087425
142,15,18,39,135.754661,34.985201
143,15,19,13,135.7746525,35.004084
144,15,19,35,135.7570505,35.0037495
145,16,8,0,135.7828155,35.0130485
146,16,8,21,135.7817325,35.0154755
147,16,8,47,135.7828155,35.0130485
148,16,13,5,135.7817325,35.0154755
149,16,14,2,135.7828155,35.0130485
150,16,14,29,135.7679695,35.016412
151,16,15,0,135.7828155,35.0130485
152,16,15,45,135.781704,35.0102175
153,16,16,34,135.7828155,35.0130485
154,16,16,56,135.7817325,35.0154755
155,16,17,34,135.7828155,35.0130485
156,16,17,57,135.781704,35.0102175
157,16,18,35,135.7570505,35.0037495
158,16,19,46,135.7828155,35.0130485
159,17,8,0,135.774561,35.0003805
160,17,10,39,135.7746525,35.004084
161,17,10,59,135.7791445,35.006801
162,17,11,32,135.781704,35.0102175
163,17,11,59,135.774561,35.0003805
164,17,12,24,135.7788415,34.9997495
165,17,13,5,135.7746525,35.004084
166,17,13,56,135.781704,35.0102175
167,17,14,18,135.7894595,35.008201
168,17,19,57,135.781704,35.0102175
169,18,8,0,135.787233,35.0290475
170,18,9,22,135.7634075,35.0223815
171,18,17,0,135.7679695,35.016412
172,18,17,25,135.7634075,35.0223815
173,18,19,28,135.7746525,35.004084
174,19,8,0,135.7704425,34.956751
175,19,9,32,135.754661,34.985201
176,19,12,20,135.756622,34.987583
177,19,13,9,135.754661,34.985201
178,19,15,23,135.756622,34.987583
179,19,15,48,135.754661,34.985201
180,19,16,14,135.7538105,34.9894565
181,19,16,52,135.754661,34.985201
182,20,8,0,135.7970205,35.032162
183,20,8,29,135.7941705,35.021666
184,20,8,55,135.76222,35.048933
185,20,10,25,135.772834,35.037001
186,20,11,9,135.7941705,35.021666
187,20,11,33,135.787039,35.01212
188,20,12,2,135.7941705,35.021666
189,20,12,27,135.7746525,35.004084
190,20,13,1,135.7941705,35.021666
191,20,13,43,135.787039,35.01212
192,20,15,12,135.744895,35.04319
193,20,16,1,135.7570505,35.0037495
194,20,17,0,135.7941705,35.021666
195,20,19,55,135.7655235,34.993912
196,21,8,0,135.80606,34.9141
197,21,8,32,135.765363,35.0129715
198,21,8,54,135.754661,34.985201
199,21,9,41,135.767355,34.9883835
200,21,10,4,135.754661,34.985201
201,21,11,4,135.7538105,34.9894565
202,21,11,28,135.754661,34.985201
203,21,15,26,135.7538105,34.9894565
204,21,15,48,135.80606,34.9141
205,21,16,37,135.7605385,34.9912315
206,21,17,19,135.754661,34.985201
207,21,19,4,135.7538105,34.9894565
208,21,19,25,135.754661,34.985201
209,21,19,48,135.756622,34.987583
210,22,8,0,135.670073,35.017883
211,22,8,37,135.66949,35.01664
212,22,10,9,135.670073,35.017883
213,22,10,38,135.66949,35.01664
214,22,16,29,135.6712335,35.01464
215,22,17,33,135.670073,35.017883
216,22,18,2,135.6712335,35.01464
217,23,8,0,135.760971,35.044259
218,23,8,56,135.765363,35.0129715
219,23,10,13,135.765669,35.0096815
220,23,10,42,135.765363,35.0129715
221,23,11,14,135.7679695,35.016412
222,23,11,37,135.765669,35.0096815
223,23,11,58,135.792265,35.0104415
224,23,12,24,135.7746525,35.004084
225,23,12,55,135.765363,35.0129715
226,23,13,47,135.748985,35.008217
227,23,14,8,135.754661,34.985201
228,23,14,36,135.760971,35.044259
229,23,15,5,135.7746525,35.004084
230,23,15,33,135.7679695,35.016412
231,23,15,55,135.765669,35.0096815
232,23,16,15,135.748985,35.008217
233,23,16,37,135.7679695,35.016412
234,23,17,58,135.7730015,35.0177695
235,23,18,36,135.7679695,35.016412
236,23,19,17,135.7746525,35.004084
237,24,8,0,135.748384,35.0487085
238,24,8,47,135.73175,35.0357935
239,24,9,17,135.748384,35.0487085
240,25,8,0,135.6686395,35.0536705
241,25,11,11,135.706794,35.014965
242,25,11,33,135.677087,35.0163655
243,25,11,55,135.6686395,35.0536705
244,25,13,17,135.7789385,35.003255
245,25,13,46,135.7746525,35.004084
246,25,14,13,135.7761325,35.006611
247,25,15,1,135.7746525,35.004084
248,25,16,53,135.677087,35.0163655
249,25,17,19,135.706794,35.014965
250,25,18,11,135.7789385,35.003255
251,25,18,35,135.7761325,35.006611
252,25,19,16,135.781704,35.0102175
253,25,19,39,135.706794,35.014965
254,26,8,0,135.756622,34.987583
255,26,8,45,135.754661,34.985201
256,26,9,7,135.756622,34.987583
257,27,8,0,135.7652655,35.128634
258,27,8,51,135.763058,35.121432
259,27,9,48,135.7652655,35.128634
260,27,10,17,135.7634075,35.0223815
261,27,11,24,135.7570505,35.0037495
262,27,11,46,135.765669,35.0096815
263,27,12,9,135.7679695,35.016412
264,27,12,37,135.763058,35.121432
265,27,13,15,135.779793,34.9968395
266,27,13,42,135.763058,35.121432
267,27,14,34,135.766483,35.1196245
268,27,15,10,135.7652655,35.128634
269,27,15,40,135.8568525,35.023987
270,27,16,0,135.864308,35.0115715
271,27,16,23,135.763058,35.121432
272,28,8,0,135.799019,34.9248745
273,28,8,28,135.804262,34.8920415
274,28,9,6,135.7570505,35.0037495
275,28,9,31,135.799019,34.9248745
276,28,11,21,135.804262,34.8920415
277,28,11,44,135.799019,34.9248745
278,28,12,17,135.754661,34.985201
279,28,12,45,135.756622,34.987583
280,28,14,16,135.804262,34.8920415
281,28,15,26,135.807436,34.8900065
282,28,16,6,135.799019,34.9248745
283,28,16,56,135.687512,34.891397
284,28,17,31,135.754661,34.985201
285,29,8,0,135.8108285,34.951979
286,29,9,21,135.7731105,34.9925735
287,29,10,7,135.8108285,34.951979
288,29,12,32,135.7605385,34.9912315
289,29,14,4,135.756622,34.987583
290,29,15,15,135.8108285,34.951979
291,29,16,3,135.7605385,34.9912315
292,29,16,28,135.756622,34.987583
293,29,18,47,135.8108285,34.951979
294,30,8,0,135.8217265,34.95134
295,30,9,0,135.7718915,34.97757
296,30,12,37,135.8217265,34.95134
297,30,13,4,135.7715805,34.9919985
298,30,15,30,135.7731105,34.9925735
299,30,15,59,135.7788415,34.9997495
300,30,16,53,135.765176,34.9962555
301,30,19,40,135.7715805,34.9919985
302,31,8,0,135.7101305,34.984007
303,31,8,21,135.7029955,34.979176
304,31,8,44,135.7101305,34.984007
305,31,9,44,135.7029955,34.979176
306,31,10,12,135.7101305,34.984007
307,31,10,48,135.7029955,34.979176
308,31,11,49,135.7101305,34.984007
309,31,12,32,135.7029955,34.979176
310,31,13,16,135.7101305,34.984007
311,31,15,57,135.747848,34.9816885
312,32,8,0,135.67436,35.015765
313,32,15,52,135.677087,35.0163655
314,32,16,55,135.67436,35.015765
315,32,18,5,135.677087,35.0163655
316,33,8,0,135.7727175,35.1135795
317,33,8,53,135.7497795,35.010972
318,33,9,20,135.756622,34.987583
319,33,9,54,135.7727175,35.1135795
320,33,10,39,135.7353195,35.029866
321,34,8,0,135.7800475,35.0189255
322,34,8,29,135.7634075,35.0223815
323,34,9,14,135.7800475,35.0189255
324,34,9,35,135.7634075,35.0223815
325,34,11,40,135.7800475,35.0189255
326,34,12,33,135.7634075,35.0223815
327,34,13,7,135.7800475,35.0189255
328,34,14,8,135.782733,35.005275
329,34,14,29,135.7800475,35.0189255
330,34,15,0,135.7817325,35.0154755
331,34,15,38,135.7800475,35.0189255
332,35,8,0,135.765363,35.0129715
333,35,8,34,135.7679695,35.016412
334,35,8,55,135.7634075,35.0223815
335,35,10,37,135.7679695,35.016412
336,35,11,17,135.754661,34.985201
337,35,11,42,135.7679695,35.016412
338,35,12,54,135.779615,35.0256915
339,35,14,10,135.754661,34.985201
340,35,16,48,135.7605385,34.9912315
341,35,17,39,135.754661,34.985201
342,35,19,15,135.7679695,35.016412
343,36,8,0,135.677087,35.0163655
344,36,8,27,135.6756455,35.0127105
345,36,12,19,135.677087,35.0163655
346,36,12,46,135.6756455,35.0127105
347,36,13,9,135.677087,35.0163655
348,36,15,32,135.6756455,35.0127105
349,36,16,4,135.677087,35.0163655
350,36,16,49,135.679205,35.0115535
351,36,17,14,135.6756455,35.0127105
352,36,17,37,135.677087,35.0163655
353,36,18,22,135.6814325,35.0177845
354,36,19,2,135.6701645,35.020495
355,36,19,35,135.677087,35.0163655
356,37,8,0,135.787039,35.01212
357,37,8,52,135.7718915,34.97757
358,37,9,20,135.7767595,34.988114
359,37,9,49,135.7718915,34.97757
360,37,10,34,135.754661,34.985201
361,37,11,29,135.7538105,34.9894565
362,37,12,3,135.787039,35.01212
363,37,13,35,135.7767595,34.988114
364,37,14,30,135.7718915,34.97757
365,37,15,4,135.756622,34.987583
366,37,15,27,135.767355,34.9883835
367,37,17,6,135.756622,34.987583
368,37,17,32,135.787039,35.01212
369,38,8,0,135.864308,35.0115715
370,38,8,39,135.7517045,35.0186945
371,38,11,25,135.864308,35.0115715
372,38,12,39,135.7517045,35.0186945
373,38,13,19,135.749473,35.0139545
374,38,13,40,135.7517045,35.0186945
375,38,14,25,135.749473,35.0139545
376,38,15,0,135.864308,35.0115715
377,38,15,20,135.7029955,34.979176
378,38,17,42,135.864308,35.0115715
379,38,18,3,135.749473,35.0139545
380,38,18,24,135.864308,35.0115715
381,38,18,44,135.749473,35.0139545
382,39,8,0,135.765669,35.0096815
383,39,8,20,135.7679695,35.016412
384,39,8,44,135.7655235,34.993912
385,39,9,17,135.7679695,35.016412
386,39,9,46,135.7655235,34.993912
387,39,10,10,135.7679695,35.016412
388,39,11,3,135.7655235,34.993912
389,39,12,25,135.7679695,35.016412
390,39,12,55,135.7655235,34.993912
391,39,14,35,135.7679695,35.016412
392,39,15,9,135.7655235,34.993912
393,39,16,47,135.7679695,35.016412
394,39,17,51,135.772834,35.037001
395,39,18,11,135.7679695,35.016412
396,39,18,36,135.7655235,34.993912
397,39,18,56,135.7679695,35.016412
398,39,19,21,135.7817325,35.0154755
