User NSID,score,pid,matched_aid
10033320@N00,4.873658,295,64
10049648@N00,5.5611253,696,41
10049648@N00,5.9376793,696,41
10049648@N00,5.1208143,696,41
10049648@N00,4.3942485,696,41
10049648@N00,6.494272,696,41
10049648@N00,5.0422664,696,41
10049648@N00,4.682769,696,41
10049648@N00,6.2976704,696,41
10049648@N00,5.053728,696,41
10049648@N00,5.8331842,696,41
10049648@N00,5.2087293,696,41
10049648@N00,4.8899336,696,41
10049648@N00,4.6966906,696,41
10049648@N00,4.9724216,696,41
10049648@N00,5.0358477,696,41
10049648@N00,4.9547176,696,41
10049648@N00,5.2447944,696,41
10049648@N00,4.4028873,696,41
10049648@N00,4.9906445,696,41
10049648@N00,5.309451,696,41
10049648@N00,4.9185247,696,41
10049648@N00,5.120775,696,41
10049648@N00,5.240146,696,41
10049648@N00,5.0699825,696,41
10049648@N00,5.117913,696,41
10049648@N00,6.2540073,696,41
10049648@N00,3.894136,696,41
10049648@N00,4.124814,696,41
10049648@N00,4.232292,696,41
10049648@N00,4.5334983,696,41
10049648@N00,4.7681217,696,41
10049648@N00,4.9828877,696,41
10049648@N00,5.5519505,696,41
10195415@N03,4.5269575,151,68
10195415@N03,4.620296,213,88
10195415@N03,4.6733246,626,10
10195415@N03,4.5761685,9,43
10195415@N03,4.231983,151,68
10195415@N03,5.239075,186,64
10195415@N03,4.3614535,626,10
10195415@N03,4.0386615,626,10
10195415@N03,4.7292957,626,10
10195415@N03,4.3559237,213,88
10195415@N03,3.8477948,151,68
10195415@N03,4.996327,626,10
10195415@N03,4.0316715,609,13
10195415@N03,4.348389,9,43
10195415@N03,4.6950436,9,43
10195415@N03,4.6366644,626,10
10195415@N03,4.7531514,186,64
10195415@N03,4.4074135,626,10
10195415@N03,4.435235,626,10
10195415@N03,5.1414623,626,10
10195415@N03,4.610854,151,68
10195415@N03,4.2777534,9,43
10195415@N03,4.8167214,626,10
10195415@N03,4.674204,186,64
10195415@N03,4.885094,609,13
10195415@N03,4.7438927,626,10
10195415@N03,4.81556,151,68
10195415@N03,4.7552915,186,64
10195415@N03,4.7779307,626,10
10195415@N03,4.529277,626,10
10195415@N03,4.532248,626,10
10195415@N03,5.427026,626,10
10195415@N03,4.428142,186,64
10195415@N03,4.1371937,151,68
10195415@N03,4.4298973,609,13
10195415@N03,5.337012,213,88
10195415@N03,4.5843945,626,10
10195415@N03,4.5561924,213,88
10195415@N03,4.723412,9,43
10195415@N03,5.3779893,626,10
10195415@N03,5.1670175,626,10
10195415@N03,4.7837415,626,10
10195415@N03,4.503353,626,10
10195415@N03,4.610553,626,10
10195415@N03,4.342474,626,10
10195415@N03,4.5519204,186,64
10195415@N03,4.4088783,9,43
10195415@N03,4.389205,213,88
10195415@N03,4.9128866,626,10
10195415@N03,5.2595005,9,43
10195415@N03,4.6358433,626,10
10195415@N03,4.993065,609,13
10195415@N03,4.059497,151,68
10195415@N03,4.896758,151,68
10195415@N03,4.2701674,626,10
10195415@N03,5.7957473,151,68
10195415@N03,5.0337367,151,68
10195415@N03,3.5295625,9,43
10195415@N03,3.8731887,626,10
10195415@N03,4.63833,9,43
10195415@N03,4.6931534,626,10
10195415@N03,4.3753395,609,13
10195415@N03,3.8031838,9,43
10195415@N03,4.203332,626,10
10195415@N03,4.6278105,9,43
10195415@N03,4.7810445,186,64
10195415@N03,5.0605383,609,13
10195415@N03,4.3355374,151,68
10195415@N03,4.3281784,151,68
10195415@N03,5.153869,626,10
10195415@N03,5.2530594,626,10
10195415@N03,4.2377934,213,88
10195415@N03,4.7303495,626,10
10195415@N03,4.5447955,626,10
10195415@N03,6.255128,626,10
10195415@N03,4.754647,9,43
10195415@N03,4.404777,213,88
10195415@N03,4.800758,626,10
10195415@N03,5.0477805,151,68
10195415@N03,4.8543134,626,10
10195415@N03,4.723703,626,10
10195415@N03,4.6665792,626,10
10195415@N03,4.971916,626,10
10195415@N03,3.9267828,626,10
10195415@N03,4.486493,9,43
10195415@N03,4.238575,626,10
10195415@N03,3.9765196,626,10
10195415@N03,4.0640373,151,68
10195415@N03,4.3233624,151,68
10195415@N03,4.9601765,626,10
10195415@N03,3.5044293,9,43
10195415@N03,4.7441635,151,68
10245967@N07,4.960636,497,83
10245967@N07,5.039156,320,69
10245967@N07,5.2670546,497,83
10245967@N07,5.6265917,151,68
10245967@N07,5.1029263,497,83
10245967@N07,5.0817266,497,83
10245967@N07,4.6485558,701,73
10245967@N07,4.4519835,701,73
10245967@N07,4.8034987,151,68
10245967@N07,4.26296,151,68
10245967@N07,5.40292,151,68
10245967@N07,4.4469204,151,68
10245967@N07,5.1552415,497,83
10245967@N07,5.307022,497,83
10245967@N07,5.0653887,151,68
10245967@N07,4.88923,155,68
10245967@N07,4.0298615,232,72, 88
10245967@N07,5.151902,497,83
10245967@N07,4.0477977,701,73
10245967@N07,4.403313,317,65
10245967@N07,4.363374,497,83
10245967@N07,4.436574,320,69
