AID,count
0,1071
1,121
2,5
3,91
4,75
5,146
6,15
7,24
8,286
9,5
10,1
11,29
12,107
13,6
14,11
15,69
16,2
17,51
18,63
19,148
20,71
21,35
22,26
23,4
24,1
25,60
26,13
27,11
28,0
29,14
30,15
31,159
32,2
33,4
34,1
35,4
36,8
37,1
38,5
39,8
40,4
41,31
42,0
43,0
44,0
45,3
46,8
47,25
48,18
49,4
50,2
51,14
52,124
53,1
54,3
55,36
56,7
57,0
58,0
59,277
60,2
61,2
62,18
63,1
64,0
65,1
66,14
67,0
68,3
69,60
70,0
71,0
72,19
73,1
74,0
75,6
76,1
77,1
78,0
79,0
80,0
81,3
82,0
83,6
84,3
85,0
86,0
87,0
88,0
89,29
90,61
91,32
92,135
93,353
94,258
95,36
96,0
97,0
98,0
99,1
100,48
101,78
102,4
103,2
104,246
105,30
106,34
107,884
108,2
109,1
110,0
111,34
112,19
113,0
114,82
115,5
116,0
117,0
118,12
119,0
120,0
121,1480
122,4
123,6
124,68
125,112
126,623
127,60
128,322
129,25
130,21
131,20
132,0
133,58
134,7
135,2
136,0
137,0
138,0
139,2
140,0
141,0
142,39
143,0
144,59
145,0
146,0
147,0
148,96
149,5
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,4
161,27
162,28
163,0
164,0
165,114
166,16
167,0
168,1
169,15
170,0
171,8
172,40
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,4
181,0
182,49
183,1
184,0
185,0
186,5
187,15
188,10
189,0
190,13
191,0
192,15
193,0
194,0
195,0
196,0
197,23
198,3
199,2
200,0
201,0
202,4
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,7
215,33
216,0
217,4
218,0
219,1
220,5
221,0
222,2
223,0
224,2
225,7
226,87
227,0
228,0
229,6
230,0
231,0
232,1236
233,141
234,4
235,109
236,84
237,181
238,17
239,30
240,293
241,8
242,1
243,38
244,141
245,8
246,13
247,81
248,2
249,66
250,71
251,178
252,85
253,39
254,30
255,5
256,1
257,74
258,9
259,13
260,1
261,18
262,15
263,169
264,4
265,6
266,5
267,5
268,9
269,2
270,6
271,7
272,7
273,35
274,0
275,0
276,1
277,4
278,14
279,31
280,22
281,3
282,3
283,14
284,147
285,0
286,3
287,38
