aid,aoi,boundary,polygon
1,"Kawaramachi Street, 河原町",[135.758666  35.001737 135.772297  35.012283],"[[35.012283, 135.758666], [35.012283, 135.772297], [35.001737, 135.772297], [35.001737, 135.758666]]"
2,"Nijō Castle, 二条城",[135.744495  35.01158  135.754451  35.016329],"[[35.016329, 135.744495], [35.016329, 135.754451], [35.01158, 135.754451], [35.01158, 135.744495]]"
3,"Kiyomizu-dera, 清水寺",[135.781906  34.99251  135.786666  34.996394],"[[34.996394, 135.781906], [34.996394, 135.786666], [34.99251, 135.786666], [34.99251, 135.781906]]"
4,"Arashiyama Station, 嵐山駅前",[135.673241  35.012951 135.680933  35.01978 ],"[[35.01978, 135.673241], [35.01978, 135.680933], [35.012951, 135.680933], [35.012951, 135.673241]]"
5,"Fushimi Inari Taisha, 伏見稲荷大社",[135.770523  34.96348  135.7896    34.9715  ],"[[34.9715, 135.770523], [34.9715, 135.7896], [34.96348, 135.7896], [34.96348, 135.770523]]"
6,"Kyoto Imperial Palace, 京都御所",[135.758485  35.0155   135.76833   35.029263],"[[35.029263, 135.758485], [35.029263, 135.76833], [35.0155, 135.76833], [35.0155, 135.758485]]"
7,"Tenryū-ji, 天龍寺",[135.67164  35.01393 135.67708  35.0176 ],"[[35.0176, 135.67164], [35.0176, 135.67708], [35.01393, 135.67708], [35.01393, 135.67164]]"
8,"Kinkaku-ji, 金閣寺",[135.72707   35.037797 135.733383  35.04188 ],"[[35.04188, 135.72707], [35.04188, 135.733383], [35.037797, 135.733383], [35.037797, 135.72707]]"
9,"Gion, 祇園",[135.77125   35.00179  135.778055  35.006378],"[[35.006378, 135.77125], [35.006378, 135.778055], [35.00179, 135.778055], [35.00179, 135.77125]]"
10,"Yasaka Shrine, 八坂神社",[135.7772    35.001416 135.780677  35.005094],"[[35.005094, 135.7772], [35.005094, 135.780677], [35.001416, 135.780677], [35.001416, 135.7772]]"
11,"Higashiyama Jisho-ji, 銀閣寺",[135.79514   35.02605  135.799512  35.027606],"[[35.027606, 135.79514], [35.027606, 135.799512], [35.02605, 135.799512], [35.02605, 135.79514]]"
12,"Heian Shrine, 平安神宮",[135.778656  35.013466 135.784809  35.017485],"[[35.017485, 135.778656], [35.017485, 135.784809], [35.013466, 135.784809], [35.013466, 135.778656]]"
13,"Philosopher's Path, 哲学の道",[135.791401  35.015166 135.79694   35.028166],"[[35.028166, 135.791401], [35.028166, 135.79694], [35.015166, 135.79694], [35.015166, 135.791401]]"
14,"Arashiyama Bamboo Forest, 竹林の小径",[135.669978  35.01605  135.67658   35.018024],"[[35.018024, 135.669978], [35.018024, 135.67658], [35.01605, 135.67658], [35.01605, 135.669978]]"
15,"Nanzen-ji, 南禅寺",[135.78865   35.00755  135.79588   35.013333],"[[35.013333, 135.78865], [35.013333, 135.79588], [35.00755, 135.79588], [35.00755, 135.78865]]"
16,"Tōfuku-ji, 東福寺",[135.766233  34.97519  135.77755   34.97995 ],"[[34.97995, 135.766233], [34.97995, 135.77755], [34.97519, 135.77755], [34.97519, 135.766233]]"
17,"Chion-in, 知恩院",[135.780186  35.0038   135.78528   35.00675 ],"[[35.00675, 135.780186], [35.00675, 135.78528], [35.0038, 135.78528], [35.0038, 135.780186]]"
18,"Shimogamo-Jinja, 下鴨神社",[135.770755  35.034002 135.774913  35.04    ],"[[35.04, 135.770755], [35.04, 135.774913], [35.034002, 135.774913], [35.034002, 135.770755]]"
19,"Sanneizaka, 三年坂",[135.776666  34.994666 135.78292   34.999013],"[[34.999013, 135.776666], [34.999013, 135.78292], [34.994666, 135.78292], [34.994666, 135.776666]]"
20,"Kitano Tenmangū, 北野天満宮",[135.730264  35.027372 135.740375  35.03236 ],"[[35.03236, 135.730264], [35.03236, 135.740375], [35.027372, 135.740375], [35.027372, 135.730264]]"
21,"Ryōan-ji, 龍安寺",[135.71621  35.02784 135.72116  35.03597],"[[35.03597, 135.71621], [35.03597, 135.72116], [35.02784, 135.72116], [35.02784, 135.71621]]"
22,"Toji, 東寺",[135.74628   34.979336 135.749416  34.984041],"[[34.984041, 135.74628], [34.984041, 135.749416], [34.979336, 135.749416], [34.979336, 135.74628]]"
23,"Kyoto Botanical Gardens, 京都府立植物園",[135.75858   35.0462   135.76586   35.051666],"[[35.051666, 135.75858], [35.051666, 135.76586], [35.0462, 135.76586], [35.0462, 135.75858]]"
24,"Sanzen-in Temple, 三千院",[135.829766  35.11831  135.8378    35.12177 ],"[[35.12177, 135.829766], [35.12177, 135.8378], [35.11831, 135.8378], [35.11831, 135.829766]]"
25,"Rengeoin Sanjusangendo, 三十三間堂",[135.771063  34.986901 135.772536  34.989242],"[[34.989242, 135.771063], [34.989242, 135.772536], [34.986901, 135.772536], [34.986901, 135.771063]]"
26,"Kenninji Temple, 建仁寺",[135.771789  34.998714 135.777333  35.002047],"[[35.002047, 135.771789], [35.002047, 135.777333], [34.998714, 135.777333], [34.998714, 135.771789]]"
27,"Byodoin, 平等院",[135.805984  34.888169 135.808888  34.891844],"[[34.891844, 135.805984], [34.891844, 135.808888], [34.888169, 135.808888], [34.888169, 135.805984]]"
28,"Togetsu-kyō Bridge, 渡月橋",[135.671761  35.011861 135.67953   35.01356 ],"[[35.01356, 135.671761], [35.01356, 135.67953], [35.011861, 135.67953], [35.011861, 135.671761]]"
29,"Kōdaiji Temple, 高台寺",[135.779602  35.       135.783166  35.001411],"[[35.001411, 135.779602], [35.001411, 135.783166], [35.0, 135.783166], [35.0, 135.779602]]"
30,"Daigoji, 醍醐寺",[135.817773  34.94903  135.82568   34.95365 ],"[[34.95365, 135.817773], [34.95365, 135.82568], [34.94903, 135.82568], [34.94903, 135.817773]]"
